Country,Year,CPI_Score,CPI_Rank
Mexico,2015.0,35.0,95.0
Mexico,2016.0,30.0,123.0
Mexico,2017.0,29.0,135.0
Mexico,2018.0,28.0,138.0
Mexico,2019.0,29.0,130.0
Mexico,2020.0,31.0,124.0
Mexico,2021.0,31.0,124.0
Mexico,2022.0,31.0,126.0
Mexico,2023.0,26.0,136.0
Mexico,2024.0,27.0,141.0
Brazil,2015.0,38.0,76.0
Brazil,2016.0,40.0,79.0
Brazil,2017.0,37.0,96.0
Brazil,2018.0,35.0,105.0
Brazil,2019.0,35.0,106.0
Brazil,2020.0,36.0,94.0
Brazil,2021.0,38.0,96.0
Brazil,2022.0,36.0,94.0
Brazil,2023.0,34.0,104.0
Brazil,2024.0,35.0,107.0
