Country,Year,GDP_Growth_Pct,Inflation_CPI_Pct,Unemployment_Pct,FDI_Inflows_Pct_GDP,Manufacturing_Pct_GDP,Exports_Pct_GDP,GDP_Current_USD
Brazil,2015,-3.54576339347278,9.02990102416136,8.538,3.59214973121732,10.5209374563041,12.9001914186486,1802.21199945642
Brazil,2016,-3.2759169063211,8.73914352329393,11.58,4.13737853830264,10.7864511151848,12.4666790428125,1795.69326599904
Brazil,2017,1.32286905390815,3.44637335032669,12.792,3.33826028420938,10.7214980097615,12.5189678705014,2063.51468880578
Brazil,2018,1.78366676137003,3.66485028376728,12.329,4.07858861807831,10.5284573774955,14.6349994958796,1916.93370835271
Brazil,2019,1.22077782271943,3.73297621216893,11.936,3.69267330426814,10.3325005326579,14.1229191909095,1873.28815883863
Brazil,2020,-3.27675879612903,3.21176803803376,13.697,2.59263784624068,10.692931568083,16.4535520099709,1476.1072921519499
Brazil,2021,4.7626043797061,8.30165975585673,13.158,2.77979074096507,11.9043730116912,19.1094303686964,1670.64746406296
Brazil,2022,3.01669435408112,9.28010608956872,9.231,3.86803201499441,13.0740816278135,19.6307650034838,1951.9238320838701
Brazil,2023,3.24165532813583,4.59356282283203,7.947,2.86383330702497,13.2531636221996,17.9693243032658,2191.13186970602
Brazil,2024,3.41931516597739,4.36746407652336,6.801,3.38960802616211,12.1108065155746,17.9385794398128,2185.82164894386
Mexico,2015,2.70232342550646,2.72064064964023,4.311,2.98783786595647,19.8234213937112,34.1627726873238,1213.2944677168798
Mexico,2016,1.77249323845399,2.8217078474766,3.853,3.49768027047347,19.8687757979342,36.8156772514808,1112.2334974527
Mexico,2017,1.87172853327193,6.04145724018986,3.419,2.78307493352174,20.1618224199443,37.5140886198874,1190.721475906
Mexico,2018,1.97208209405635,4.89935015356551,3.275,3.01417850463095,20.1893657004533,39.0439304419331,1256.30018287973
Mexico,2019,-0.392690505066824,3.63596142127046,3.477,2.29651449578107,19.8877542658522,38.5296507920009,1304.10620390245
Mexico,2020,-8.35403458167995,3.39683415570006,4.44,2.81400875194225,20.1842735743221,39.2353720904115,1121.06476730842
Mexico,2021,6.0484834621255,5.68920847683753,4.019,2.70530313509815,20.8358358575225,40.5691932010194,1316.56946668595
Mexico,2022,3.70975709163623,7.8962761916855,3.256,2.67267286258385,21.4864702087066,42.9322902133702,1466.93472429306
Mexico,2023,3.35354140652768,5.52796087314389,2.765,1.70618868173612,20.4180224277552,36.0693951643755,1798.3175814868798
Mexico,2024,1.42742769080466,4.72225588452932,2.678,2.44966474077028,19.8017537671375,36.7033688165177,1856.3656161659399
